Area,Address,Price,Bedrooms,Bathrooms,Sqft
"Austin, TX","7028 Hillcroft Dr, Austin, TX 78724","$289,000 ",3,2,"1,162"
"Austin, TX","12601 Tierra Grande Trl, Austin, TX 78732","$721,000 ",3,2,"2,103"
"Austin, TX","1702 Rogge Ln, Austin, TX 78723","$550,000 ",4,3,"2,335"
"Austin, TX","2527 De Soto Dr, Austin, TX 78733","$600,000 ",3,2,"1,497"
"Austin, TX","3415 Crownover St, Austin, TX 78725","$289,900 ",3,2,"1,203"
"Austin, TX","Clarkesville Ave, Odessa, TX 79764","$126,000 ",,,
"Austin, TX","7100 Creedmoor Rd, Austin, TX 78719","$545,000 ",4,2,"1,804"
"Austin, TX","4415 Sinclair Ave, Austin, TX 78756","$1,065,000 ",3,2,"2,209"
"Austin, TX","1614 Bruton Springs Rd, Austin, TX 78733","$12,750,000 ",5,6,"5,108"
"Austin, TX","1108 Austin Highlands Blvd, Austin, TX 78745","$380,000 ",3,2,994
"Austin, TX","1602 Elmira Rd, Austin, TX 78721","$299,900 ",2,2,"1,200"
"Austin, TX","11310 Spicewood Club Dr APT 2, Austin, TX 78750","$350,000 ",2,3,"1,615"
"Austin, TX","10005 Shinnecock Hills Dr, Austin, TX 78747","$649,000 ",4,3,"3,426"
"Austin, TX","2401 Oakhaven Cir, Austin, TX 78704","$4,650,000 ",5,5,"4,500"
"Austin, TX","8612 Fireside Dr, Austin, TX 78757","$500,000 ",--,--,"1,674"
"Austin, TX","10201 Copper Ridge Cv, Austin, TX 78747","$349,900 ",3,2,"1,398"
"Austin, TX","1708 Timber Brush Trl, Austin, TX 78741","$250,000 ",2,3,"1,338"
"Austin, TX","5808 Kennedy St, Austin, TX 78747","$411,000 ",4,4,"2,302"
"Austin, TX","4800 Amarra Dr, Austin, TX 78735","$5,995,000 ",4,5,"5,150"
"Austin, TX","11203 Ranch Rd #2222-108, Austin, TX 78745","$400,000 ",3,3,"1,730"
"Austin, TX","6804 Capital Of Tx Hwy #821, Austin, TX 78750","$230,000 ",1,1,785
"Austin, TX","8614 Navidad Dr, Austin, TX 78735","$2,500,000 ",5,5,"4,355"
"Austin, TX","360 Nueces St APT 1406, Austin, TX 78701","$449,000 ",1,1,753
"Austin, TX","1021 Quail Park Dr, Austin, TX 78758","$540,000 ",4,2,"2,522"
"Austin, TX","3904 Veldt Dr, Austin, TX 78725","$95,000 ",,,
"Austin, TX","11418 Ptarmigan Dr, Austin, TX 78758","$399,000 ",5,4,"2,129"
"Austin, TX","15205 Wallaby Way, Austin, TX 78728","$375,000 ",3,2,"1,494"
"Austin, TX","6305 Clubway Ln, Austin, TX 78745","$417,500 ",3,2,"1,201"
"Austin, TX","10204 Aqua Azul Ct, Austin, TX 78733","$575,000 ",,,
"Austin, TX","3904 Mocha Trl, Austin, TX 78728","$549,000 ",5,4,"3,136"
"Austin, TX","2425 Ashdale Dr APT 24, Austin, TX 78757","$250,000 ",2,2,971
"Austin, TX","13202 Dauphine St, Austin, TX 78727","$345,000 ",3,3,"1,400"
"Austin, TX","3316 Guadalupe St APT 213, Austin, TX 78705","$190,000 ",1,1,399
"Austin, TX","6717 Oasis Pass, Austin, TX 78732","$6,500,000 ",4,7,"6,843"
"Austin, TX","5300 Daimler Dr, Austin, TX 78744","$379,999 ",3,3,"2,068"
"Austin, TX","6710 Stonleigh Pl, Austin, TX 78744","$335,000 ",4,2,"1,516"
"Austin, TX","12166 Metric Blvd APT 380, Austin, TX 78758","$275,000 ",2,2,"1,004"
"Austin, TX","7123 Silvermine Dr, Austin, TX 78736","$495,000 ",3,2,"1,305"
"Austin, TX","1700 Lakeshore Dr, Austin, TX 78746","$17,800,000 ",4,4,"3,968"
"Austin, TX","9502 Newberry Dr, Austin, TX 78729","$525,000 ",4,2,"2,031"
"Austin, TX","8224 Chalk Knoll Dr, Austin, TX 78735","$4,950,000 ",5,5,"6,796"
"Austin, TX","11807 Bracco Dr #2001, Austin, TX 78748","$365,000 ",3,3,"1,753"
"Austin, TX","5713 Whitebrook Dr, Austin, TX 78724","$588,000 ",3,3,"1,928"
"Austin, TX","621 Bissonet Ln, Austin, TX 78752","$480,000 ",3,2,"1,924"
"Austin, TX","16611 Denise Dr, Austin, TX 78717","$629,000 ",5,3,"2,844"
"Austin, TX","2209 Rae Dell Ave, Austin, TX 78704","$799,000 ",2,3,"1,190"
"Austin, TX","907 E Oltorf St, Austin, TX 78704","$450,000 ",3,3,"1,548"
"Austin, TX","Adams Plan, Sunfield","$283,990+",3,2,"1,207"
"Austin, TX","9322 Knoll Crest Loop, Austin, TX 78759","$759,900 ",3,3,"2,138"
"Austin, TX","10230 Scull Creek Dr, Austin, TX 78730","$819,000 ",4,2,"2,235"
"Austin, TX","6901 Greenshores Dr APT 4, Austin, TX 78730","$13,500,000 ",6,8,"9,083"
"Austin, TX","8114 West Ct, Austin, TX 78759","$725,000 ",4,4,"3,192"
"Austin, TX","6507 Bridge Point Pkwy UNIT FERN 1A, Austin, TX 78730","$13,975,000 ",4,5,"3,926"
"Austin, TX","3104 Barton Creek Blvd, Austin, TX 78735","$1,499,900 ",4,5,"3,270"
"Austin, TX","11004 Friar Villa Dr, Austin, TX 78737","$2,000,000 ",5,5,"4,326"
