Incident Number,Highest Offense Description,Highest Offense Code,Family Violence,Occurred Date Time,Occurred Date,Occurred Time,Report Date Time,Report Date,Report Time,Location Type,Address,Zip Code,Council District,APD Sector,APD District,PRA,Census Tract,Clearance Status,Clearance Date,UCR Category,Category Description,Latitude,Longitude
2022521098,ROBBERY BY THREAT,305,N,02/21/2022 06:30:00 PM,02/21/2022,1830,02/21/2022 06:30:00 PM,02/21/2022,1830,PARKING /DROP LOT/ GARAGE,2314 PARKER LN,78741,3,HE,2,482,23,C,02/21/2022,120,Robbery,30.23170069,-97.73755508
2022540075,ROBBERY BY THREAT,305,N,02/22/2022 09:00:00 PM,02/22/2022,2100,02/23/2022 01:34:00 AM,02/23/2022,134,HOTEL / MOTEL / ETC.,8128 N IH 35 SVRD SB,78753,4,ED,1,592,400,N,03/02/2022,120,Robbery,30.34430294,-97.69766805
2022580607,ROBBERY BY THREAT,305,N,02/27/2022 11:53:00 AM,02/27/2022,1153,02/27/2022 11:53:00 AM,02/27/2022,1153,PARKING /DROP LOT/ GARAGE,2400 E RIVERSIDE DR,78741,3,HE,2,441,23,C,02/28/2022,120,Robbery,30.2363652,-97.72482626
2022631279,ROBBERY BY THREAT,305,N,03/04/2022 06:49:00 PM,03/04/2022,1849,03/04/2022 11:43:00 PM,03/04/2022,2343,PARK / PLAYGROUND,900 W RIVERSIDE DR,78704,9,DA,1,438,13.11,C,03/04/2022,120,Robbery,30.2627639,-97.75271373
2022771057,ROBBERY BY THREAT,305,N,03/18/2022 04:38:00 PM,03/18/2022,1638,03/18/2022 04:38:00 PM,03/18/2022,1638,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,RED RIVER ST / E 6TH ST,78701,9,GE,2,382,11,N,05/29/2022,120,Robbery,30.26647404,-97.73719045
2022791169,ROBBERY BY THREAT,305,N,03/20/2022 04:43:00 PM,03/20/2022,1643,03/20/2022 06:46:00 PM,03/20/2022,1846,DEPARTMENT / DISCOUNT STORE,1030 NORWOOD PARK BLVD,78753,4,ID,2,252,403,N,03/29/2022,120,Robbery,30.33915243,-97.69116575
2022810459,ROBBERY BY THREAT,305,N,03/22/2022 11:25:00 AM,03/22/2022,1125,03/22/2022 11:25:00 AM,03/22/2022,1125,SERVICE/ GAS STATION,6515 S IH 35 SVRD NB,78744,2,FR,8,516,24.19,C,04/06/2022,120,Robbery,30.19049955,-97.76943208
2022820991,ROBBERY BY THREAT,305,N,03/23/2022 08:51:00 PM,03/23/2022,2051,03/23/2022 08:51:00 PM,03/23/2022,2051,CONVENIENCE STORE,5101 AIRPORT BLVD,78751,9,ID,6,655,3,C,03/24/2022,120,Robbery,30.31231259,-97.71494339
2022820669,ROBBERY BY THREAT,305,N,03/23/2022 01:04:00 PM,03/23/2022,1304,03/23/2022 01:18:00 PM,03/23/2022,1318,DRUG STORE / DOCTOR'S OFFICE / HOSPITAL,2213 AIRPORT BLVD,78723,1,CH,4,351,21,C,04/05/2022,120,Robbery,30.2859389,-97.70537816
2022850063,ROBBERY BY THREAT,305,N,03/26/2022 12:42:00 AM,03/26/2022,42,03/26/2022 02:22:00 AM,03/26/2022,222,CONVENIENCE STORE,201 W BEN WHITE BLVD SVRD EB,78745,3,DA,3,491,20,C,03/26/2022,120,Robbery,30.22250974,-97.76487063
2022970093,ROBBERY BY THREAT,305,N,04/07/2022 01:55:00 AM,04/07/2022,155,04/07/2022 02:03:00 AM,04/07/2022,203,PARKING /DROP LOT/ GARAGE,2700 BLOCK CANTERBURY ST,78702,3,CH,1,420,10,N,05/04/2022,120,Robbery,30.25159951,-97.71418525
20221041387,ROBBERY BY THREAT,305,N,04/14/2022 09:52:00 PM,04/14/2022,2152,04/14/2022 09:52:00 PM,04/14/2022,2152,DEPARTMENT / DISCOUNT STORE,8900 N IH 35 SVRD SB,78753,4,ED,1,250,431,,,120,Robbery,30.35353282,-97.6927032
20221060873,ROBBERY BY THREAT,305,N,04/16/2022 01:53:00 PM,04/16/2022,1353,04/16/2022 03:06:00 PM,04/16/2022,1506,PARKING /DROP LOT/ GARAGE,2108 S LAMAR BLVD,78704,5,DA,1,470,13,N,04/27/2023,120,Robbery,30.24837644,-97.77118674
20221070229,ROBBERY BY THREAT,305,N,04/17/2022 03:00:00 AM,04/17/2022,300,04/17/2022 03:10:00 AM,04/17/2022,310,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,WEST AVE / W 6TH ST,78701,9,GE,1,373,11,N,11/01/2022,120,Robbery,30.2702955,-97.75058907
20221081352,ROBBERY BY THREAT,305,N,04/18/2022 09:44:00 PM,04/18/2022,2144,04/18/2022 10:14:00 PM,04/18/2022,2214,DEPARTMENT / DISCOUNT STORE,8601 RESEARCH BLVD SVRD NB,78758,4,ED,2,249,401,C,04/25/2022,120,Robbery,30.36256043,-97.71568839
20221111384,ROBBERY BY THREAT,305,N,04/21/2022 09:59:00 PM,04/21/2022,2159,04/21/2022 10:03:00 PM,04/21/2022,2203,SERVICE/ GAS STATION,2314 E 7TH ST,78702,3,CH,2,422,9,N,05/05/2022,120,Robbery,30.26138426,-97.7160204
20221190364,ROBBERY BY THREAT,305,N,04/28/2022 11:30:00 PM,04/28/2022,2330,04/29/2022 07:35:00 AM,04/29/2022,735,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,410 E 5TH ST,78701,9,GE,2,382,11,N,06/04/2022,120,Robbery,30.26632707,-97.73903212
20221350316,ROBBERY BY THREAT,305,N,05/15/2022 03:34:00 AM,05/15/2022,334,05/15/2022 03:34:00 AM,05/15/2022,334,CONVENIENCE STORE,1901 E WILLIAM CANNON DR,78744,2,FR,8,530,24.41,N,03/01/2023,120,Robbery,30.18802384,-97.76570505
20225013850,ROBBERY BY THREAT,305,N,03/30/2022 11:19:00 AM,03/30/2022,1119,05/18/2022 10:05:00 AM,05/18/2022,1005,SHOPPING MALL,11200 LAKELINE MALL DR,78613,6,AD,6,118,203.34,N,05/27/2022,120,Robbery,30.4705168,-97.80651783
20221421447,ROBBERY BY THREAT,305,N,05/22/2022 10:40:00 PM,05/22/2022,2240,05/22/2022 10:40:00 PM,05/22/2022,2240,GROCERY / SUPERMARKET,9300 S IH 35 SVRD SB,78748,5,FR,2,666,24.37,C,05/31/2022,120,Robbery,30.16548757,-97.78952006
20221470993,ROBBERY BY THREAT,305,N,05/27/2022 03:14:00 PM,05/27/2022,1514,05/27/2022 03:14:00 PM,05/27/2022,1514,PARKING /DROP LOT/ GARAGE,8120 RESEARCH BLVD SVRD SB,78757,7,ID,7,248,405,C,05/27/2022,120,Robbery,30.35358145,-97.71546587
20221480770,ROBBERY BY THREAT,305,N,05/28/2022 01:17:00 PM,05/28/2022,1317,05/28/2022 01:17:00 PM,05/28/2022,1317,DEPARTMENT / DISCOUNT STORE,2300 W BEN WHITE BLVD SVRD WB,78704,5,DA,4,467,20,C,05/30/2022,120,Robbery,30.23282018,-97.7924247
20221511461,ROBBERY BY THREAT,305,N,05/31/2022 09:03:00 PM,05/31/2022,2103,05/31/2022 09:03:00 PM,05/31/2022,2103,RESTAURANT,1151 AIRPORT BLVD,78721,1,CH,4,424,21,C,06/01/2022,120,Robbery,30.27393142,-97.69764059
20225015804,ROBBERY BY THREAT,305,N,05/26/2022 04:47:00 AM,05/26/2022,447,06/03/2022 05:29:00 PM,06/03/2022,1729,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,W STASSNEY LN / WEST GATE BLVD,78745,5,DA,4,506,303,N,07/28/2022,120,Robbery,30.21901038,-97.80713393
20221551573,ROBBERY BY THREAT,305,N,06/04/2022 10:07:00 PM,06/04/2022,2207,06/04/2022 11:01:00 PM,06/04/2022,2301,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,900 BLOCK BARTON SPRINGS RD,78704,9,DA,1,438,13.11,N,06/14/2022,120,Robbery,30.26023951,-97.75382673
20221570144,ROBBERY BY THREAT,305,N,06/06/2022 02:17:00 AM,06/06/2022,217,06/06/2022 03:44:00 AM,06/06/2022,344,PARKING /DROP LOT/ GARAGE,12900 N IH 35 SVRD SB,78753,7,ED,4,193,421,N,06/06/2022,120,Robbery,30.41358272,-97.67568972
20221660376,ROBBERY BY THREAT,305,N,06/15/2022 08:30:00 AM,06/15/2022,830,06/15/2022 08:33:00 AM,06/15/2022,833,GROCERY / SUPERMARKET,5345 N IH 35 SVRD NB,78723,4,ID,5,292,21,C,06/27/2022,120,Robbery,30.31271446,-97.70742907
20221701007,ROBBERY BY THREAT,305,N,06/19/2022 03:35:00 PM,06/19/2022,1535,06/19/2022 03:49:00 PM,06/19/2022,1549,DRUG STORE / DOCTOR'S OFFICE / HOSPITAL,9307 N LAMAR BLVD,78753,4,ED,1,250,431,N,07/19/2022,120,Robbery,30.36202636,-97.69713297
20221730502,ROBBERY BY THREAT,305,N,06/22/2022 11:34:00 AM,06/22/2022,1134,06/22/2022 11:34:00 AM,06/22/2022,1134,DEPARTMENT / DISCOUNT STORE,5319 N IH 35 SVRD NB,78723,4,ID,5,292,21,C,06/22/2022,120,Robbery,30.31157357,-97.7085284
20221751234,ROBBERY BY THREAT,305,N,06/24/2022 06:30:00 PM,06/24/2022,1830,06/24/2022 06:49:00 PM,06/24/2022,1849,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,W 5TH ST / LAVACA ST,78701,9,GE,1,380,11,N,06/25/2022,120,Robbery,30.26779551,-97.74554831
20221770823,ROBBERY BY THREAT,305,N,06/26/2022 02:08:00 PM,06/26/2022,1408,06/26/2022 02:08:00 PM,06/26/2022,1408,DEPARTMENT / DISCOUNT STORE,12901 N IH 35 SVRD NB,78753,7,ED,6,206,439,C,08/30/2022,120,Robbery,30.41525799,-97.67013132
20221790965,ROBBERY BY THREAT,305,N,06/28/2022 04:51:00 PM,06/28/2022,1651,06/28/2022 06:10:00 PM,06/28/2022,1810,CONVENIENCE STORE,7114 N IH 35 SVRD SB,78752,4,ID,8,279,15,C,06/28/2022,120,Robbery,30.33278091,-97.7050027
20221840060,ROBBERY BY THREAT,305,N,07/03/2022 01:53:00 AM,07/03/2022,153,07/03/2022 01:53:00 AM,07/03/2022,153,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,4502 LESLIE AVE,78721,1,CH,4,395,21,C,07/06/2022,120,Robbery,30.28294591,-97.68530771
20221861435,ROBBERY BY THREAT,305,N,07/05/2022 10:26:00 PM,07/05/2022,2226,07/05/2022 10:26:00 PM,07/05/2022,2226,CONVENIENCE STORE,9318 N IH 35 SVRD SB,78753,4,ED,1,250,431,C,07/06/2022,120,Robbery,30.35830737,-97.68882692
20221911493,ROBBERY BY THREAT,305,N,07/10/2022 11:11:00 PM,07/10/2022,2311,07/10/2022 11:11:00 PM,07/10/2022,2311,PARK / PLAYGROUND,1009 W DITTMAR RD,78748,2,FR,3,536,24.23,C,07/11/2022,120,Robbery,30.18441886,-97.80178279
20221911141,ROBBERY BY THREAT,305,N,07/10/2022 07:00:00 PM,07/10/2022,1900,07/10/2022 07:00:00 PM,07/10/2022,1900,CONVENIENCE STORE,7715 E BEN WHITE BLVD SVRD EB,78744,2,HE,6,498,24.48,N,09/27/2022,120,Robbery,30.21824488,-97.68869977
20228014101,ROBBERY BY THREAT,305,N,07/10/2022 07:15:00 PM,07/10/2022,1915,07/10/2022 08:34:00 PM,07/10/2022,2034,SPECIALTY  STORE,5431 N IH 35 NB,78723,4,ID,5,292,21,C,10/07/2022,120,Robbery,30.31418386,-97.70800091
20221950627,ROBBERY BY THREAT,305,N,07/14/2022 11:40:00 AM,07/14/2022,1140,07/14/2022 01:21:00 PM,07/14/2022,1321,DEPARTMENT / DISCOUNT STORE,4501 W BRAKER LN,78759,7,AD,1,215,324,N,09/27/2022,120,Robbery,30.39958598,-97.74361318
20221991372,ROBBERY BY THREAT,305,N,07/18/2022 08:25:00 PM,07/18/2022,2025,07/18/2022 09:00:00 PM,07/18/2022,2100,DEPARTMENT / DISCOUNT STORE,6305 CAMERON RD,78723,1,ID,5,293,21,N,08/18/2022,120,Robbery,30.32029813,-97.69541662
20221990664,ROBBERY BY THREAT,305,N,07/18/2022 11:30:00 AM,07/18/2022,1130,07/18/2022 03:33:00 PM,07/18/2022,1533,RESIDENCE / HOME,1501 E HOWARD LN,78754,7,ED,6,206,439,C,07/27/2022,120,Robbery,30.40514245,-97.64220521
20222010462,ROBBERY BY THREAT,305,N,07/20/2022 09:57:00 AM,07/20/2022,957,07/20/2022 10:43:00 AM,07/20/2022,1043,CONVENIENCE STORE,2538 ELMONT DR,78741,3,HE,2,441,23,C,07/27/2022,120,Robbery,30.23928869,-97.71982803
20222071191,ROBBERY BY THREAT,305,N,07/26/2022 08:09:00 PM,07/26/2022,2009,07/26/2022 08:09:00 PM,07/26/2022,2009,DEPARTMENT / DISCOUNT STORE,2300 W BEN WHITE BLVD SVRD WB,78704,5,DA,4,467,20,C,07/26/2022,120,Robbery,30.23282018,-97.7924247
20222140775,ROBBERY BY THREAT,305,N,08/02/2022 01:45:00 PM,08/02/2022,1345,08/02/2022 02:53:00 PM,08/02/2022,1453,COMMERCIAL / OFFICE BUILDING,1141 SHADY LN,78721,3,CH,5,428,21.11,C,08/02/2022,120,Robbery,30.26269907,-97.69110353
20222211181,ROBBERY BY THREAT,305,N,08/08/2022 07:30:00 PM,08/08/2022,1930,08/09/2022 06:54:00 PM,08/09/2022,1854,PARKING /DROP LOT/ GARAGE,8540 N LAMAR BLVD,78758,4,ED,2,249,401,C,08/11/2022,120,Robbery,30.35483776,-97.70723055
20222230876,ROBBERY BY THREAT,305,N,08/11/2022 03:23:00 PM,08/11/2022,1523,08/11/2022 03:23:00 PM,08/11/2022,1523,BANK / SAVINGS & LOAN,1700 W PARMER LN,78727,7,ED,4,193,421,N,02/22/2023,120,Robbery,30.41282454,-97.68891481
20222280914,ROBBERY BY THREAT,305,N,08/16/2022 05:23:00 PM,08/16/2022,1723,08/16/2022 05:23:00 PM,08/16/2022,1723,CONVENIENCE STORE,6010 E RIVERSIDE DR,78741,3,HE,3,443,23.25,N,08/18/2022,120,Robbery,30.22671474,-97.70628016
20222340011,ROBBERY BY THREAT,305,N,08/22/2022 12:12:00 AM,08/22/2022,12,08/22/2022 12:15:00 AM,08/22/2022,15,PARKING /DROP LOT/ GARAGE,11901 N MOPAC EXPY SVRD NB,78759,7,AD,2,201,454,N,09/01/2022,120,Robbery,30.40689651,-97.7186635
20222390201,ROBBERY BY THREAT,305,N,08/27/2022 03:15:00 AM,08/27/2022,315,08/27/2022 03:15:00 AM,08/27/2022,315,BAR / NIGHTCLUB,710 W 6TH ST,78701,9,GE,1,373,11,N,09/08/2022,120,Robbery,30.27025454,-97.75005784
20222441472,ROBBERY BY THREAT,305,N,09/01/2022 09:10:00 PM,09/01/2022,2110,09/01/2022 09:14:00 PM,09/01/2022,2114,CONVENIENCE STORE,861 E BRAKER LN,78753,1,ED,7,759,416,C,09/02/2022,120,Robbery,30.37575318,-97.67366802
20222550781,ROBBERY BY THREAT,305,N,09/12/2022 02:18:00 PM,09/12/2022,1418,09/12/2022 03:47:00 PM,09/12/2022,1547,PARKING /DROP LOT/ GARAGE,7200 EASY WIND DR,78752,7,ID,7,263,15,C,09/13/2022,120,Robbery,30.34050756,-97.71944184
20222560437,ROBBERY BY THREAT,305,N,09/13/2022 08:20:00 AM,09/13/2022,820,09/13/2022 08:20:00 AM,09/13/2022,820,CONVENIENCE STORE,701 N IH 35 SVRD NB,78702,1,CH,2,411,9,C,09/13/2022,120,Robbery,30.26671007,-97.73363857
20222660446,ROBBERY BY THREAT,305,N,09/23/2022 09:33:00 AM,09/23/2022,933,09/23/2022 09:33:00 AM,09/23/2022,933,RESTAURANT,1919 S PLEASANT VALLEY RD,78741,3,HE,3,442,23.24,N,11/18/2022,120,Robbery,30.23402135,-97.72209908
20222670324,ROBBERY BY THREAT,305,N,09/24/2022 05:52:00 AM,09/24/2022,552,09/24/2022 06:00:00 AM,09/24/2022,600,CONVENIENCE STORE,3131 E SH 71 SVRD WB,78617,2,HE,8,500,23.1,C,09/25/2022,120,Robbery,30.20473377,-97.64164502
20222680675,ROBBERY BY THREAT,305,N,09/25/2022 10:56:00 AM,09/25/2022,1056,09/25/2022 11:49:00 AM,09/25/2022,1149,DEPARTMENT / DISCOUNT STORE,11724 RESEARCH BLVD SVRD SB,78759,10,AD,7,190,25,N,09/29/2022,120,Robbery,30.41934013,-97.74789664
20222711262,ROBBERY BY THREAT,305,N,09/28/2022 07:15:00 PM,09/28/2022,1915,09/28/2022 08:30:00 PM,09/28/2022,2030,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,7100 E BEN WHITE BLVD SVRD EB,78744,2,HE,6,498,24.48,N,09/29/2022,120,Robbery,30.21518333,-97.69962362
20222730176,ROBBERY BY THREAT,305,N,09/30/2022 04:31:00 AM,09/30/2022,431,09/30/2022 04:31:00 AM,09/30/2022,431,PARKING /DROP LOT/ GARAGE,500 CANYON RIDGE DR,78753,7,ED,6,206,440,N,09/30/2022,120,Robbery,30.40526665,-97.67189551
20222730782,ROBBERY BY THREAT,305,N,09/30/2022 02:27:00 PM,09/30/2022,1427,09/30/2022 02:27:00 PM,09/30/2022,1427,GROCERY / SUPERMARKET,6607 S IH 35 SVRD NB,78744,2,FR,8,529,24.41,C,10/06/2022,120,Robbery,30.18875106,-97.76891811
20222730852,ROBBERY BY THREAT,305,N,09/30/2022 03:15:00 PM,09/30/2022,1515,09/30/2022 04:07:00 PM,09/30/2022,1607,BANK / SAVINGS & LOAN,1402 W STASSNEY LN,78745,2,DA,3,510,24,C,10/06/2022,120,Robbery,30.21263181,-97.79097973
20222760255,ROBBERY BY THREAT,305,N,10/03/2022 05:53:00 AM,10/03/2022,553,10/03/2022 05:53:00 AM,10/03/2022,553,RESTAURANT,5355 N IH 35 SVRD NB,78723,4,ID,5,292,21,C,10/03/2022,120,Robbery,30.31321444,-97.70726647
20222780728,ROBBERY BY THREAT,305,N,10/05/2022 02:05:00 PM,10/05/2022,1405,10/05/2022 02:05:00 PM,10/05/2022,1405,BANK / SAVINGS & LOAN,12222 RESEARCH BLVD SB,78759,10,AD,7,190,25,N,10/12/2022,120,Robbery,30.42644216,-97.75421544
20222800146,ROBBERY BY THREAT,305,N,10/07/2022 02:33:00 AM,10/07/2022,233,10/07/2022 02:33:00 AM,10/07/2022,233,SERVICE/ GAS STATION,6000 FM 969 RD,78724,1,CH,6,301,22.14,N,04/24/2023,120,Robbery,30.28612372,-97.66388573
20222851313,ROBBERY BY THREAT,305,N,10/12/2022 09:00:00 PM,10/12/2022,2100,10/12/2022 09:09:00 PM,10/12/2022,2109,RESTAURANT,6307 CAMERON RD,78723,1,ID,5,293,21,N,11/01/2022,120,Robbery,30.32022459,-97.69518403
20222861143,ROBBERY BY THREAT,305,N,10/13/2022 06:15:00 PM,10/13/2022,1815,10/13/2022 06:37:00 PM,10/13/2022,1837,GROCERY / SUPERMARKET,525 N LAMAR BLVD,78703,9,GE,1,372,12,C,12/02/2022,120,Robbery,30.27056889,-97.75405771
20222941395,ROBBERY BY THREAT,305,N,10/21/2022 08:17:00 PM,10/21/2022,2017,10/21/2022 08:17:00 PM,10/21/2022,2017,DEPARTMENT / DISCOUNT STORE,710 E BEN WHITE BLVD SVRD WB,78704,3,DA,2,480,23.22,N,01/18/2023,120,Robbery,30.2200027,-97.75439457
20222960548,ROBBERY BY THREAT,305,N,10/23/2022 09:07:00 AM,10/23/2022,907,10/23/2022 09:07:00 AM,10/23/2022,907,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,400 E 6TH ST,78701,9,GE,2,382,11,C,10/24/2022,120,Robbery,30.26735144,-97.73909331
20223000655,ROBBERY BY THREAT,305,N,10/27/2022 12:15:00 PM,10/27/2022,1215,10/27/2022 12:15:00 PM,10/27/2022,1215,GROCERY / SUPERMARKET,3101 GUADALUPE ST,78705,9,BA,1,346,5,C,10/27/2022,120,Robbery,30.29767959,-97.74073128
20223020342,ROBBERY BY THREAT,305,N,10/29/2022 05:15:00 AM,10/29/2022,515,10/29/2022 05:15:00 AM,10/29/2022,515,RESIDENCE / HOME,1601 E ANDERSON LN SVRD EB,78752,1,ID,2,266,402,N,01/06/2023,120,Robbery,30.33140685,-97.68487489
20223080994,ROBBERY BY THREAT,305,N,11/04/2022 04:04:00 PM,11/04/2022,1604,11/04/2022 04:04:00 PM,11/04/2022,1604,PARKING /DROP LOT/ GARAGE,9024 NORTHGATE BLVD,78758,4,ED,2,235,407,N,02/14/2023,120,Robbery,30.37025069,-97.71718296
20223120597,ROBBERY BY THREAT,305,N,11/08/2022 11:54:00 AM,11/08/2022,1154,11/08/2022 11:57:00 AM,11/08/2022,1157,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,5600 SENDERO HILLS PKWY,78724,1,CH,6,303,22.13,N,11/10/2022,120,Robbery,30.28740213,-97.64793141
20223180659,ROBBERY BY THREAT,305,N,11/14/2022 12:47:00 PM,11/14/2022,1247,11/14/2022 12:47:00 PM,11/14/2022,1247,CONVENIENCE STORE,500 CONGRESS AVE,78701,9,GE,1,380,11,C,11/14/2022,120,Robbery,30.26743058,-97.74354926
20225032001,ROBBERY BY THREAT,305,N,10/27/2022 12:10:00 PM,10/27/2022,1210,11/17/2022 08:20:00 AM,11/17/2022,820,COMMERCIAL / OFFICE BUILDING,6608 S CONGRESS AVE,78745,2,FR,4,513,24.44,N,11/29/2022,120,Robbery,30.19428387,-97.77892172
20223231059,ROBBERY BY THREAT,305,N,11/19/2022 05:41:00 PM,11/19/2022,1741,11/19/2022 05:41:00 PM,11/19/2022,1741,DEPARTMENT / DISCOUNT STORE,3600 S IH 35 SVRD SB,78704,3,DA,2,480,23.22,C,11/22/2022,120,Robbery,30.22235873,-97.74888756
20223311115,ROBBERY BY THREAT,305,N,11/27/2022 08:34:00 PM,11/27/2022,2034,11/27/2022 09:39:00 PM,11/27/2022,2139,CONVENIENCE STORE,3601 W WILLIAM CANNON DR,78749,8,DA,7,804,334,C,12/13/2022,120,Robbery,30.21428923,-97.83198939
20223311317,ROBBERY BY THREAT,305,N,11/27/2022 11:23:00 PM,11/27/2022,2323,11/27/2022 11:23:00 PM,11/27/2022,2323,RESIDENCE / HOME,1200 BROADMOOR DR,78723,4,ID,5,48,21,C,02/28/2023,120,Robbery,30.31141944,-97.70543553
20223320654,ROBBERY BY THREAT,305,N,11/28/2022 01:02:00 PM,11/28/2022,1302,11/28/2022 02:16:00 PM,11/28/2022,1416,BANK / SAVINGS & LOAN,2817 E CESAR CHAVEZ ST,78702,3,CH,1,420,10,C,12/09/2022,120,Robbery,30.25246553,-97.712017
20223330853,ROBBERY BY THREAT,305,N,11/29/2022 03:54:00 PM,11/29/2022,1554,11/29/2022 03:55:00 PM,11/29/2022,1555,CONVENIENCE STORE,2820 S LAMAR BLVD,78704,5,DA,1,450,19.23,C,11/29/2022,120,Robbery,30.24417916,-97.78233443
20223340900,ROBBERY BY THREAT,305,N,11/30/2022 03:58:00 PM,11/30/2022,1558,11/30/2022 03:58:00 PM,11/30/2022,1558,DEPARTMENT / DISCOUNT STORE,5621 N IH 35 SVRD NB,78723,4,ID,5,292,21,C,11/30/2022,120,Robbery,30.31639292,-97.70614651
20223490822,ROBBERY BY THREAT,305,N,12/15/2022 02:58:00 PM,12/15/2022,1458,12/15/2022 02:58:00 PM,12/15/2022,1458,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,1660 OHLEN RD,78758,7,ID,7,234,405,C,12/21/2022,120,Robbery,30.36331969,-97.71731387
20223500487,ROBBERY BY THREAT,305,N,12/13/2022 08:25:00 PM,12/13/2022,2025,12/16/2022 09:37:00 AM,12/16/2022,937,LIQUOR STORE,729 E SLAUGHTER LN,78744,5,FR,7,543,24.51,C,12/21/2022,120,Robbery,30.16033406,-97.77712244
20223580352,ROBBERY BY THREAT,305,N,12/24/2022 10:24:00 AM,12/24/2022,1024,12/24/2022 10:24:00 AM,12/24/2022,1024,CONVENIENCE STORE,8900 N LAMAR BLVD,78758,4,ED,1,237,406,N,01/10/2023,120,Robbery,30.3582867,-97.70038767
20223620666,ROBBERY BY THREAT,305,N,12/28/2022 02:32:00 PM,12/28/2022,1432,12/28/2022 02:32:00 PM,12/28/2022,1432,CONVENIENCE STORE,823 CONGRESS AVE,78701,9,GE,1,379,11,C,12/28/2022,120,Robbery,30.27058401,-97.74144944
20223621000,ROBBERY BY THREAT,305,N,12/28/2022 05:38:00 PM,12/28/2022,1738,12/28/2022 05:38:00 PM,12/28/2022,1738,DEPARTMENT / DISCOUNT STORE,1819 S PLEASANT VALLEY RD,78741,3,HE,3,442,23.24,C,12/28/2022,120,Robbery,30.23422117,-97.72043394
20223651028,ROBBERY BY THREAT,305,N,12/31/2022 05:57:00 PM,12/31/2022,1757,12/31/2022 05:57:00 PM,12/31/2022,1757,DEPARTMENT / DISCOUNT STORE,8801 S IH 35 SVRD NB,78744,2,FR,7,543,24.51,C,01/31/2023,120,Robbery,30.1683339,-97.78259876
202270796,AGG ASSAULT WITH MOTOR VEH,406,N,01/07/2022 02:55:00 PM,01/07/2022,1455,01/07/2022 05:22:00 PM,01/07/2022,1722,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,6720 CORPUS CHRISTI DR,78729,6,AD,3,183,341,N,02/16/2022,13A,Aggravated Assault,30.44448506,-97.7500059
2022171207,AGG ASSAULT WITH MOTOR VEH,406,N,01/17/2022 09:12:00 PM,01/17/2022,2112,01/17/2022 09:12:00 PM,01/17/2022,2112,COMMERCIAL / OFFICE BUILDING,12701 N US 183 HWY SVRD NB,78727,6,AD,4,168,204.1,N,04/12/2022,13A,Aggravated Assault,30.43320331,-97.76577808
2022180509,AGG ASSAULT WITH MOTOR VEH,406,N,01/18/2022 12:45:00 PM,01/18/2022,1245,01/18/2022 01:08:00 PM,01/18/2022,1308,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,501 E 6TH ST,78701,9,GE,2,382,11,N,01/25/2022,13A,Aggravated Assault,30.2665025,-97.73818776
2022180275,AGG ASSAULT WITH MOTOR VEH,406,N,01/17/2022 04:35:00 PM,01/17/2022,1635,01/18/2022 04:17:00 PM,01/18/2022,1617,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,3022 E 13TH ST,78702,1,CH,3,394,8,N,02/11/2022,13A,Aggravated Assault,30.27733586,-97.70296955
2022290049,AGG ASSAULT WITH MOTOR VEH,406,N,01/29/2022 12:45:00 AM,01/29/2022,45,01/29/2022 12:45:00 AM,01/29/2022,45,PARKING /DROP LOT/ GARAGE,6607 CIRCLE S RD,78745,2,FR,4,515,24.43,N,03/08/2022,13A,Aggravated Assault,30.19315917,-97.77700117
2022310807,AGG ASSAULT WITH MOTOR VEH,406,N,01/31/2022 02:38:00 PM,01/31/2022,1438,01/31/2022 02:38:00 PM,01/31/2022,1438,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,HYRIDGE DR / MESA DR,78759,10,BA,8,231,302,N,02/02/2022,13A,Aggravated Assault,30.38022334,-97.75083605
20225006234,AGG ASSAULT WITH MOTOR VEH,406,N,03/01/2022 12:00:00 AM,03/01/2022,0,03/02/2022 01:26:00 AM,03/02/2022,126,RESIDENCE / HOME,903 EDGECLIFF TER,78704,9,HE,1,455,14,N,03/19/2022,13A,Aggravated Assault,30.2504424,-97.73909458
2022680994,AGG ASSAULT WITH MOTOR VEH,406,N,03/09/2022 08:29:00 PM,03/09/2022,2029,03/09/2022 08:29:00 PM,03/09/2022,2029,HWY / ROAD / ALLEY/ STREET/ SIDEWALK,2906 S PLEASANT VALLEY RD,78741,3,HE,2,483,23.13,N,06/14/2022,13A,Aggravated Assault,30.22333882,-97.73073627
